Year,Area,Item,Unit,Production (Tonnes),CH4 Emissions intensity
1994,Americas,"Milk, whole fresh goat",tonnes,640630,2.5019
1995,Americas,"Milk, whole fresh goat",tonnes,643104,2.4673
1996,Americas,"Milk, whole fresh goat",tonnes,585111,2.3146
1997,Americas,"Milk, whole fresh goat",tonnes,598275,2.3919
1998,Americas,"Milk, whole fresh goat",tonnes,620361,2.3731
1999,Americas,"Milk, whole fresh goat",tonnes,635390,2.3854
2000,Americas,"Milk, whole fresh goat",tonnes,678644,2.4827
2001,Americas,"Milk, whole fresh goat",tonnes,674554,2.4222
2002,Americas,"Milk, whole fresh goat",tonnes,682597,2.3888
2003,Americas,"Milk, whole fresh goat",tonnes,687470,2.3749
2004,Americas,"Milk, whole fresh goat",tonnes,719482,2.3818
2005,Americas,"Milk, whole fresh goat",tonnes,729239,2.3853
2006,Americas,"Milk, whole fresh goat",tonnes,726952,2.4136
2007,Americas,"Milk, whole fresh goat",tonnes,719599,2.3281
2008,Americas,"Milk, whole fresh goat",tonnes,723062,2.3411
2009,Americas,"Milk, whole fresh goat",tonnes,724721,2.2806
2010,Americas,"Milk, whole fresh goat",tonnes,744465,2.2365
2011,Americas,"Milk, whole fresh goat",tonnes,773450,2.3568
2012,Americas,"Milk, whole fresh goat",tonnes,771171,2.3643
2013,Americas,"Milk, whole fresh goat",tonnes,775644,2.3825
2014,Americas,"Milk, whole fresh goat",tonnes,720906,2.1933
2015,Americas,"Milk, whole fresh goat",tonnes,741203,2.2324
2016,Americas,"Milk, whole fresh goat",tonnes,755589,2.2222
2017,Americas,"Milk, whole fresh goat",tonnes,756974,2.2013
1961,Americas,"Meat, sheep",tonnes,736257,42.6274
1962,Americas,"Meat, sheep",tonnes,727016,42.2645
1963,Americas,"Meat, sheep",tonnes,688726,43.6555
1964,Americas,"Meat, sheep",tonnes,648583,45.8322
1965,Americas,"Meat, sheep",tonnes,658866,45.382
1966,Americas,"Meat, sheep",tonnes,687360,43.6092
1967,Americas,"Meat, sheep",tonnes,690025,43.212
1968,Americas,"Meat, sheep",tonnes,698515,41.6416
1969,Americas,"Meat, sheep",tonnes,651369,44.6716
1970,Americas,"Meat, sheep",tonnes,658767,42.4937
1971,Americas,"Meat, sheep",tonnes,651947,41.4944
1972,Americas,"Meat, sheep",tonnes,585201,44.2038
1973,Americas,"Meat, sheep",tonnes,547898,46.8531
1974,Americas,"Meat, sheep",tonnes,518743,46.748
1975,Americas,"Meat, sheep",tonnes,504659,47.5987
1976,Americas,"Meat, sheep",tonnes,486536,49.0087
1977,Americas,"Meat, sheep",tonnes,472689,50.2944
1978,Americas,"Meat, sheep",tonnes,440073,52.7017
1979,Americas,"Meat, sheep",tonnes,431303,54.1016
1980,Americas,"Meat, sheep",tonnes,424318,56.3901
1981,Americas,"Meat, sheep",tonnes,452816,53.8662
1982,Americas,"Meat, sheep",tonnes,465257,51.5054
1983,Americas,"Meat, sheep",tonnes,470555,49.3352
1984,Americas,"Meat, sheep",tonnes,465171,48.3392
1985,Americas,"Meat, sheep",tonnes,457109,50.0998
1986,Americas,"Meat, sheep",tonnes,466375,49.3953
1987,Americas,"Meat, sheep",tonnes,453461,51.6922
1988,Americas,"Meat, sheep",tonnes,469433,50.6246
1989,Americas,"Meat, sheep",tonnes,484302,50.2808
1990,Americas,"Meat, sheep",tonnes,503078,47.7106
1991,Americas,"Meat, sheep",tonnes,499774,47.4821
1992,Americas,"Meat, sheep",tonnes,479953,48.5495
1993,Americas,"Meat, sheep",tonnes,477457,43.92
1994,Americas,"Meat, sheep",tonnes,488912,41.7706
1995,Americas,"Meat, sheep",tonnes,461881,41.9287
1996,Americas,"Meat, sheep",tonnes,429779,42.5662
1997,Americas,"Meat, sheep",tonnes,420436,42.1197
1998,Americas,"Meat, sheep",tonnes,405206,42.7701
1999,Americas,"Meat, sheep",tonnes,409184,42.2402
2000,Americas,"Meat, sheep",tonnes,414193,41.0701
2001,Americas,"Meat, sheep",tonnes,449241,37.6929
2002,Americas,"Meat, sheep",tonnes,395387,40.8699
2003,Americas,"Meat, sheep",tonnes,393742,41.6027
2004,Americas,"Meat, sheep",tonnes,393244,42.3952
2005,Americas,"Meat, sheep",tonnes,403526,42.3009
2006,Americas,"Meat, sheep",tonnes,402625,43.0555
2007,Americas,"Meat, sheep",tonnes,398964,43.386
2008,Americas,"Meat, sheep",tonnes,402287,42.7215
2009,Americas,"Meat, sheep",tonnes,398296,42.314
2010,Americas,"Meat, sheep",tonnes,425330,39.2958
2011,Americas,"Meat, sheep",tonnes,415297,39.8825
2012,Americas,"Meat, sheep",tonnes,412460,39.1062
2013,Americas,"Meat, sheep",tonnes,405117,39.9295
2014,Americas,"Meat, sheep",tonnes,406440,38.6389
2015,Americas,"Meat, sheep",tonnes,394120,39.083
2016,Americas,"Meat, sheep",tonnes,392576,38.988
2017,Americas,"Meat, sheep",tonnes,390500,38.8995
1961,Americas,"Milk, whole fresh sheep",tonnes,21980,7.4097
1962,Americas,"Milk, whole fresh sheep",tonnes,22550,7.375
1963,Americas,"Milk, whole fresh sheep",tonnes,22724,7.4194
1964,Americas,"Milk, whole fresh sheep",tonnes,23609,7.4004
1965,Americas,"Milk, whole fresh sheep",tonnes,24215,7.3968
1966,Americas,"Milk, whole fresh sheep",tonnes,24800,7.3957
1967,Americas,"Milk, whole fresh sheep",tonnes,25550,7.4068
1968,Americas,"Milk, whole fresh sheep",tonnes,25890,7.4055
1969,Americas,"Milk, whole fresh sheep",tonnes,26850,7.4042
1970,Americas,"Milk, whole fresh sheep",tonnes,27010,7.424
1971,Americas,"Milk, whole fresh sheep",tonnes,27730,7.4174
1972,Americas,"Milk, whole fresh sheep",tonnes,28520,7.3996
1973,Americas,"Milk, whole fresh sheep",tonnes,29140,7.4127
1974,Americas,"Milk, whole fresh sheep",tonnes,29860,7.4132
1975,Americas,"Milk, whole fresh sheep",tonnes,30550,7.4147
1976,Americas,"Milk, whole fresh sheep",tonnes,31200,7.4134
1977,Americas,"Milk, whole fresh sheep",tonnes,29210,7.5062
1978,Americas,"Milk, whole fresh sheep",tonnes,29710,7.5085
1979,Americas,"Milk, whole fresh sheep",tonnes,30770,7.5108
1980,Americas,"Milk, whole fresh sheep",tonnes,31550,7.5129
1981,Americas,"Milk, whole fresh sheep",tonnes,32155,7.4964
1982,Americas,"Milk, whole fresh sheep",tonnes,32655,7.4987
1983,Americas,"Milk, whole fresh sheep",tonnes,32900,7.4952
1984,Americas,"Milk, whole fresh sheep",tonnes,32185,7.5251
1985,Americas,"Milk, whole fresh sheep",tonnes,32740,7.5201
1986,Americas,"Milk, whole fresh sheep",tonnes,28600,7.4858
1987,Americas,"Milk, whole fresh sheep",tonnes,31400,7.4879
1988,Americas,"Milk, whole fresh sheep",tonnes,32530,7.4981
1989,Americas,"Milk, whole fresh sheep",tonnes,33960,7.4976
1990,Americas,"Milk, whole fresh sheep",tonnes,34854,7.4843
1991,Americas,"Milk, whole fresh sheep",tonnes,77421,5.7829
1992,Americas,"Milk, whole fresh sheep",tonnes,79053,5.8173
1993,Americas,"Milk, whole fresh sheep",tonnes,78781,5.6503
1994,Americas,"Milk, whole fresh sheep",tonnes,81226,5.84
1995,Americas,"Milk, whole fresh sheep",tonnes,79120,5.6998
1996,Americas,"Milk, whole fresh sheep",tonnes,79460,5.7216
1997,Americas,"Milk, whole fresh sheep",tonnes,80947,5.8512
1998,Americas,"Milk, whole fresh sheep",tonnes,78889,5.8457
1999,Americas,"Milk, whole fresh sheep",tonnes,79643,5.8497
2000,Americas,"Milk, whole fresh sheep",tonnes,79895,5.8133
2001,Americas,"Milk, whole fresh sheep",tonnes,80868,5.8498
2002,Americas,"Milk, whole fresh sheep",tonnes,82644,5.8183
2003,Americas,"Milk, whole fresh sheep",tonnes,84111,5.8646
2004,Americas,"Milk, whole fresh sheep",tonnes,86543,5.8783
2005,Americas,"Milk, whole fresh sheep",tonnes,86035,5.8813
2006,Americas,"Milk, whole fresh sheep",tonnes,86412,5.8787
2007,Americas,"Milk, whole fresh sheep",tonnes,87321,6.0819
2008,Americas,"Milk, whole fresh sheep",tonnes,91243,5.9738
2009,Americas,"Milk, whole fresh sheep",tonnes,92815,6.0011
2010,Americas,"Milk, whole fresh sheep",tonnes,91473,5.9654
2011,Americas,"Milk, whole fresh sheep",tonnes,95210,5.8061
2012,Americas,"Milk, whole fresh sheep",tonnes,96630,5.7906
2013,Americas,"Milk, whole fresh sheep",tonnes,98069,5.8078
2014,Americas,"Milk, whole fresh sheep",tonnes,96326,5.771
2015,Americas,"Milk, whole fresh sheep",tonnes,96813,5.7722
2016,Americas,"Milk, whole fresh sheep",tonnes,97550,5.7749
2017,Americas,"Milk, whole fresh sheep",tonnes,97054,5.7796
1961,Americas,"Meat, chicken",tonnes,3294066,0.8332
1962,Americas,"Meat, chicken",tonnes,3351884,0.8529
1963,Americas,"Meat, chicken",tonnes,3546878,0.832
1964,Americas,"Meat, chicken",tonnes,3702529,0.834
1965,Americas,"Meat, chicken",tonnes,4033147,0.7974
1966,Americas,"Meat, chicken",tonnes,4361648,0.7705
1967,Americas,"Meat, chicken",tonnes,4531207,0.7893
1968,Americas,"Meat, chicken",tonnes,4612871,0.8086
1969,Americas,"Meat, chicken",tonnes,4958319,0.7921
1970,Americas,"Meat, chicken",tonnes,5374503,0.749
1971,Americas,"Meat, chicken",tonnes,5435483,0.7396
1972,Americas,"Meat, chicken",tonnes,5737496,0.7488
1973,Americas,"Meat, chicken",tonnes,5807627,0.754
1974,Americas,"Meat, chicken",tonnes,6009892,0.7379
1975,Americas,"Meat, chicken",tonnes,5984388,0.7543
1976,Americas,"Meat, chicken",tonnes,6616245,0.7306
1977,Americas,"Meat, chicken",tonnes,6900307,0.7247
1978,Americas,"Meat, chicken",tonnes,7409596,0.697
1979,Americas,"Meat, chicken",tonnes,8291041,0.6783
1980,Americas,"Meat, chicken",tonnes,8901159,0.6911
1981,Americas,"Meat, chicken",tonnes,9518720,0.6678
1982,Americas,"Meat, chicken",tonnes,9791230,0.6532
1983,Americas,"Meat, chicken",tonnes,9911359,0.6379
1984,Americas,"Meat, chicken",tonnes,10067727,0.6303
1985,Americas,"Meat, chicken",tonnes,10614395,0.6158
1986,Americas,"Meat, chicken",tonnes,11293066,0.592
1987,Americas,"Meat, chicken",tonnes,12282289,0.5768
1988,Americas,"Meat, chicken",tonnes,12798825,0.5698
1989,Americas,"Meat, chicken",tonnes,13262694,0.5711
1990,Americas,"Meat, chicken",tonnes,14361769,0.5506
1991,Americas,"Meat, chicken",tonnes,15653750,0.5397
1992,Americas,"Meat, chicken",tonnes,16776226,0.5305
1993,Americas,"Meat, chicken",tonnes,18066021,0.528
1994,Americas,"Meat, chicken",tonnes,19436525,0.5166
1995,Americas,"Meat, chicken",tonnes,21038294,0.5115
1996,Americas,"Meat, chicken",tonnes,21697121,0.5145
1997,Americas,"Meat, chicken",tonnes,22908245,0.5055
1998,Americas,"Meat, chicken",tonnes,24057886,0.491
1999,Americas,"Meat, chicken",tonnes,26046180,0.4769
2000,Americas,"Meat, chicken",tonnes,27231347,0.4798
2001,Americas,"Meat, chicken",tonnes,28366906,0.4739
2002,Americas,"Meat, chicken",tonnes,29674847,0.4727
2003,Americas,"Meat, chicken",tonnes,30535915,0.4625
2004,Americas,"Meat, chicken",tonnes,32516692,0.4497
2005,Americas,"Meat, chicken",tonnes,32979171,0.4635
2006,Americas,"Meat, chicken",tonnes,33928320,0.4532
2007,Americas,"Meat, chicken",tonnes,35522587,0.4516
2008,Americas,"Meat, chicken",tonnes,37561079,0.4419
2009,Americas,"Meat, chicken",tonnes,37015345,0.4451
2010,Americas,"Meat, chicken",tonnes,38876539,0.4342
2011,Americas,"Meat, chicken",tonnes,40287741,0.4144
2012,Americas,"Meat, chicken",tonnes,40420287,0.4127
2013,Americas,"Meat, chicken",tonnes,41456084,0.4019
2014,Americas,"Meat, chicken",tonnes,42615630,0.4055
2015,Americas,"Meat, chicken",tonnes,44447676,0.3971
2016,Americas,"Meat, chicken",tonnes,45024553,0.3921
2017,Americas,"Meat, chicken",tonnes,46270094,0.3891
1961,Americas,"Eggs, hen, in shell",tonnes,4853291,0.706
1962,Americas,"Eggs, hen, in shell",tonnes,4928083,0.7021
1963,Americas,"Eggs, hen, in shell",tonnes,4942460,0.6989
1964,Americas,"Eggs, hen, in shell",tonnes,5093640,0.6917
1965,Americas,"Eggs, hen, in shell",tonnes,5183591,0.6917
1966,Americas,"Eggs, hen, in shell",tonnes,5279914,0.6776
1967,Americas,"Eggs, hen, in shell",tonnes,5553293,0.6609
1968,Americas,"Eggs, hen, in shell",tonnes,5524767,0.663
1969,Americas,"Eggs, hen, in shell",tonnes,5581890,0.6592
1970,Americas,"Eggs, hen, in shell",tonnes,5731120,0.6573
1971,Americas,"Eggs, hen, in shell",tonnes,5887258,0.6482
1972,Americas,"Eggs, hen, in shell",tonnes,5938399,0.6367
1973,Americas,"Eggs, hen, in shell",tonnes,5829257,0.6367
1974,Americas,"Eggs, hen, in shell",tonnes,5844801,0.639
1975,Americas,"Eggs, hen, in shell",tonnes,5917573,0.6446
1976,Americas,"Eggs, hen, in shell",tonnes,6002447,0.6422
1977,Americas,"Eggs, hen, in shell",tonnes,6117280,0.6312
1978,Americas,"Eggs, hen, in shell",tonnes,6476909,0.6242
1979,Americas,"Eggs, hen, in shell",tonnes,6804332,0.6285
1980,Americas,"Eggs, hen, in shell",tonnes,7033150,0.5917
1981,Americas,"Eggs, hen, in shell",tonnes,7097016,0.5851
1982,Americas,"Eggs, hen, in shell",tonnes,7183373,0.5885
1983,Americas,"Eggs, hen, in shell",tonnes,7048149,0.5838
1984,Americas,"Eggs, hen, in shell",tonnes,7207876,0.6161
1985,Americas,"Eggs, hen, in shell",tonnes,7436248,0.6101
1986,Americas,"Eggs, hen, in shell",tonnes,7783666,0.6215
1987,Americas,"Eggs, hen, in shell",tonnes,7952524,0.6322
1988,Americas,"Eggs, hen, in shell",tonnes,7992861,0.6135
1989,Americas,"Eggs, hen, in shell",tonnes,7919173,0.6164
1990,Americas,"Eggs, hen, in shell",tonnes,7980943,0.6127
1991,Americas,"Eggs, hen, in shell",tonnes,8344467,0.6019
1992,Americas,"Eggs, hen, in shell",tonnes,8405934,0.6016
1993,Americas,"Eggs, hen, in shell",tonnes,8569962,0.6035
1994,Americas,"Eggs, hen, in shell",tonnes,8819925,0.6008
1995,Americas,"Eggs, hen, in shell",tonnes,8984116,0.5828
1996,Americas,"Eggs, hen, in shell",tonnes,9071533,0.5779
1997,Americas,"Eggs, hen, in shell",tonnes,9392542,0.5766
1998,Americas,"Eggs, hen, in shell",tonnes,9592413,0.5737
1999,Americas,"Eggs, hen, in shell",tonnes,10111484,0.5609
2000,Americas,"Eggs, hen, in shell",tonnes,10492657,0.5543
2001,Americas,"Eggs, hen, in shell",tonnes,10836117,0.5632
2002,Americas,"Eggs, hen, in shell",tonnes,10955778,0.5634
2003,Americas,"Eggs, hen, in shell",tonnes,11050968,0.5611
2004,Americas,"Eggs, hen, in shell",tonnes,11368030,0.5528
2005,Americas,"Eggs, hen, in shell",tonnes,11701076,0.5475
2006,Americas,"Eggs, hen, in shell",tonnes,12315775,0.5454
2007,Americas,"Eggs, hen, in shell",tonnes,12321323,0.5438
2008,Americas,"Eggs, hen, in shell",tonnes,12522245,0.5368
2009,Americas,"Eggs, hen, in shell",tonnes,12872298,0.5332
2010,Americas,"Eggs, hen, in shell",tonnes,13124529,0.5344
2011,Americas,"Eggs, hen, in shell",tonnes,13509572,0.5254
2012,Americas,"Eggs, hen, in shell",tonnes,13561142,0.5314
2013,Americas,"Eggs, hen, in shell",tonnes,14116787,0.5249
2014,Americas,"Eggs, hen, in shell",tonnes,14583805,0.5189
2015,Americas,"Eggs, hen, in shell",tonnes,14689325,0.5117
2016,Americas,"Eggs, hen, in shell",tonnes,15193797,0.511
2017,Americas,"Eggs, hen, in shell",tonnes,15783331,0.5063
1961,Americas,"Meat, pig",tonnes,7238952,4.1976
1962,Americas,"Meat, pig",tonnes,7462867,4.3572
1963,Americas,"Meat, pig",tonnes,7720522,4.2979
1964,Americas,"Meat, pig",tonnes,7811009,4.2949
1965,Americas,"Meat, pig",tonnes,7246741,4.4435
1966,Americas,"Meat, pig",tonnes,7447616,4.1012
1967,Americas,"Meat, pig",tonnes,8129996,4.0762
1968,Americas,"Meat, pig",tonnes,8366648,4.0397
1969,Americas,"Meat, pig",tonnes,8342680,4.1627
1970,Americas,"Meat, pig",tonnes,8781449,3.8909
1971,Americas,"Meat, pig",tonnes,9589386,3.9845
1972,Americas,"Meat, pig",tonnes,9061018,4.0703
1973,Americas,"Meat, pig",tonnes,8727255,4.1465
1974,Americas,"Meat, pig",tonnes,9298833,3.9614
1975,Americas,"Meat, pig",tonnes,8301913,4.2437
1976,Americas,"Meat, pig",tonnes,8858357,3.8071
1977,Americas,"Meat, pig",tonnes,9419477,3.7965
1978,Americas,"Meat, pig",tonnes,9650698,3.778
1979,Americas,"Meat, pig",tonnes,10919249,3.5613
1980,Americas,"Meat, pig",tonnes,11750084,3.5164
1981,Americas,"Meat, pig",tonnes,11463827,3.4967
1982,Americas,"Meat, pig",tonnes,10655674,3.6152
1983,Americas,"Meat, pig",tonnes,11271451,3.3093
1984,Americas,"Meat, pig",tonnes,10965528,3.5033
1985,Americas,"Meat, pig",tonnes,10897598,3.3922
1986,Americas,"Meat, pig",tonnes,10343943,3.5412
1987,Americas,"Meat, pig",tonnes,10661759,3.4044
1988,Americas,"Meat, pig",tonnes,11397191,3.258
1989,Americas,"Meat, pig",tonnes,11219155,3.3318
1990,Americas,"Meat, pig",tonnes,11011536,3.3112
1991,Americas,"Meat, pig",tonnes,11489438,3.32
1992,Americas,"Meat, pig",tonnes,12280464,3.1663
1993,Americas,"Meat, pig",tonnes,12548723,3.1005
1994,Americas,"Meat, pig",tonnes,13171236,3.0258
1995,Americas,"Meat, pig",tonnes,13489034,2.9286
1996,Americas,"Meat, pig",tonnes,13185418,2.8253
1997,Americas,"Meat, pig",tonnes,13405092,2.8964
1998,Americas,"Meat, pig",tonnes,14720043,2.6709
1999,Americas,"Meat, pig",tonnes,15190283,2.5103
2000,Americas,"Meat, pig",tonnes,15359856,2.5086
2001,Americas,"Meat, pig",tonnes,15683124,2.5084
2002,Americas,"Meat, pig",tonnes,16294290,2.4211
2003,Americas,"Meat, pig",tonnes,16627046,2.3997
2004,Americas,"Meat, pig",tonnes,17102899,2.3493
2005,Americas,"Meat, pig",tonnes,17014110,2.4039
2006,Americas,"Meat, pig",tonnes,17361310,2.4134
2007,Americas,"Meat, pig",tonnes,18171449,2.329
2008,Americas,"Meat, pig",tonnes,18982975,2.3137
2009,Americas,"Meat, pig",tonnes,18859039,2.2868
2010,Americas,"Meat, pig",tonnes,18704915,2.3428
2011,Americas,"Meat, pig",tonnes,19108387,2.3363
2012,Americas,"Meat, pig",tonnes,19487176,2.2896
2013,Americas,"Meat, pig",tonnes,19476278,2.2601
2014,Americas,"Meat, pig",tonnes,19542442,2.3281
2015,Americas,"Meat, pig",tonnes,20718151,2.2472
2016,Americas,"Meat, pig",tonnes,21260889,2.228
2017,Americas,"Meat, pig",tonnes,21853086,2.2198
1961,Caribbean,Cereals excluding rice,tonnes,610981,0.1496
1962,Caribbean,Cereals excluding rice,tonnes,608363,0.1509
1963,Caribbean,Cereals excluding rice,tonnes,603952,0.1544
1964,Caribbean,Cereals excluding rice,tonnes,594373,0.1605
1965,Caribbean,Cereals excluding rice,tonnes,588473,0.1639
1966,Caribbean,Cereals excluding rice,tonnes,592054,0.1804
1967,Caribbean,Cereals excluding rice,tonnes,594157,0.1894
1968,Caribbean,Cereals excluding rice,tonnes,567401,0.1951
1969,Caribbean,Cereals excluding rice,tonnes,605372,0.1879
1970,Caribbean,Cereals excluding rice,tonnes,608267,0.1852
1971,Caribbean,Cereals excluding rice,tonnes,631207,0.174
1972,Caribbean,Cereals excluding rice,tonnes,642963,0.1752
1973,Caribbean,Cereals excluding rice,tonnes,502997,0.2079
1974,Caribbean,Cereals excluding rice,tonnes,519654,0.1978
1975,Caribbean,Cereals excluding rice,tonnes,492929,0.2005
1976,Caribbean,Cereals excluding rice,tonnes,514024,0.2053
1977,Caribbean,Cereals excluding rice,tonnes,476999,0.237
1978,Caribbean,Cereals excluding rice,tonnes,451148,0.26
1979,Caribbean,Cereals excluding rice,tonnes,477315,0.2631
1980,Caribbean,Cereals excluding rice,tonnes,463057,0.2557
1981,Caribbean,Cereals excluding rice,tonnes,460810,0.2717
1982,Caribbean,Cereals excluding rice,tonnes,429660,0.2643
1983,Caribbean,Cereals excluding rice,tonnes,492004,0.2339
1984,Caribbean,Cereals excluding rice,tonnes,551399,0.2362
1985,Caribbean,Cereals excluding rice,tonnes,536706,0.2449
1986,Caribbean,Cereals excluding rice,tonnes,541480,0.257
1987,Caribbean,Cereals excluding rice,tonnes,540722,0.2531
1988,Caribbean,Cereals excluding rice,tonnes,551598,0.2473
1989,Caribbean,Cereals excluding rice,tonnes,525410,0.2792
1990,Caribbean,Cereals excluding rice,tonnes,369787,0.3104
1991,Caribbean,Cereals excluding rice,tonnes,407724.2998,0.2814
1992,Caribbean,Cereals excluding rice,tonnes,467825.2607,0.2448
1993,Caribbean,Cereals excluding rice,tonnes,449652.5877,0.2209
1994,Caribbean,Cereals excluding rice,tonnes,473319.3159,0.204
1995,Caribbean,Cereals excluding rice,tonnes,496103.6266,0.2063
1996,Caribbean,Cereals excluding rice,tonnes,501703.472,0.2048
1997,Caribbean,Cereals excluding rice,tonnes,600364.1,0.2041
1998,Caribbean,Cereals excluding rice,tonnes,534523.0794,0.2022
1999,Caribbean,Cereals excluding rice,tonnes,631943.3831,0.171
2000,Caribbean,Cereals excluding rice,tonnes,607626.9257,0.1747
2001,Caribbean,Cereals excluding rice,tonnes,614140.3992,0.1841
2002,Caribbean,Cereals excluding rice,tonnes,620569.0059,0.1574
2003,Caribbean,Cereals excluding rice,tonnes,688332.3692,0.1366
2004,Caribbean,Cereals excluding rice,tonnes,743728.797,0.1383
2005,Caribbean,Cereals excluding rice,tonnes,709479.3959,0.1387
2006,Caribbean,Cereals excluding rice,tonnes,654074.5461,0.148
2007,Caribbean,Cereals excluding rice,tonnes,798769.0644,0.1448
2008,Caribbean,Cereals excluding rice,tonnes,672331.359,0.1487
2009,Caribbean,Cereals excluding rice,tonnes,774177.7617,0.1549
2010,Caribbean,Cereals excluding rice,tonnes,854954.6024,0.1596
2011,Caribbean,Cereals excluding rice,tonnes,872117.2075,0.1514
2012,Caribbean,Cereals excluding rice,tonnes,709490.7706,0.1445
2013,Caribbean,Cereals excluding rice,tonnes,934439.4157,0.1437
2014,Caribbean,Cereals excluding rice,tonnes,921837.6745,0.1512
2015,Caribbean,Cereals excluding rice,tonnes,809645.8585,0.1525
2016,Caribbean,Cereals excluding rice,tonnes,851409.9513,0.1421
2017,Caribbean,Cereals excluding rice,tonnes,745291.0143,0.1505
1961,Caribbean,"Rice, paddy",tonnes,392701,3.7402
1962,Caribbean,"Rice, paddy",tonnes,420800,3.7262
1963,Caribbean,"Rice, paddy",tonnes,437937,3.324
1964,Caribbean,"Rice, paddy",tonnes,350359,3.1208
1965,Caribbean,"Rice, paddy",tonnes,310355,3.1632
1966,Caribbean,"Rice, paddy",tonnes,332801,3.1304
1967,Caribbean,"Rice, paddy",tonnes,331782,3.6149
1968,Caribbean,"Rice, paddy",tonnes,387335,3.6454
1969,Caribbean,"Rice, paddy",tonnes,518050,3.3634
1970,Caribbean,"Rice, paddy",tonnes,680034,3.1197
1971,Caribbean,"Rice, paddy",tonnes,661760,2.8141
1972,Caribbean,"Rice, paddy",tonnes,641068,2.8747
1973,Caribbean,"Rice, paddy",tonnes,697120,3.1555
1974,Caribbean,"Rice, paddy",tonnes,838319,2.542
1975,Caribbean,"Rice, paddy",tonnes,800580,2.6214
1976,Caribbean,"Rice, paddy",tonnes,922522,2.3996
1977,Caribbean,"Rice, paddy",tonnes,882144,2.475
1978,Caribbean,"Rice, paddy",tonnes,944040,2.2779
1979,Caribbean,"Rice, paddy",tonnes,948022,2.3959
1980,Caribbean,"Rice, paddy",tonnes,1012972,2.213
1981,Caribbean,"Rice, paddy",tonnes,988400,2.3267
1982,Caribbean,"Rice, paddy",tonnes,1091393,2.0339
1983,Caribbean,"Rice, paddy",tonnes,1155084,1.8829
1984,Caribbean,"Rice, paddy",tonnes,1200475,2.0198
1985,Caribbean,"Rice, paddy",tonnes,1160627,2.0477
1986,Caribbean,"Rice, paddy",tonnes,1174720,2.0623
1987,Caribbean,"Rice, paddy",tonnes,1105563,2.1442
1988,Caribbean,"Rice, paddy",tonnes,1041383,2.1868
1989,Caribbean,"Rice, paddy",tonnes,1147190,2.2094
1990,Caribbean,"Rice, paddy",tonnes,1044933,2.1447
1991,Caribbean,"Rice, paddy",tonnes,1030350,2.1454
1992,Caribbean,"Rice, paddy",tonnes,1089987,1.8644
1993,Caribbean,"Rice, paddy",tonnes,754606,2.0918
1994,Caribbean,"Rice, paddy",tonnes,886174,2.1309
1995,Caribbean,"Rice, paddy",tonnes,993192,2.0019
1996,Caribbean,"Rice, paddy",tonnes,1185008,2.0942
1997,Caribbean,"Rice, paddy",tonnes,1289564,1.9405
1998,Caribbean,"Rice, paddy",tonnes,1024588,2.2488
1999,Caribbean,"Rice, paddy",tonnes,1253650,1.7715
2000,Caribbean,"Rice, paddy",tonnes,1270488,1.8862
2001,Caribbean,"Rice, paddy",tonnes,1428975,1.75
2002,Caribbean,"Rice, paddy",tonnes,1533611,1.637
2003,Caribbean,"Rice, paddy",tonnes,1434379,1.6361
2004,Caribbean,"Rice, paddy",tonnes,1172269,1.7869
2005,Caribbean,"Rice, paddy",tonnes,1119625,1.7797
2006,Caribbean,"Rice, paddy",tonnes,1259578,1.6899
2007,Caribbean,"Rice, paddy",tonnes,1321064,1.6112
2008,Caribbean,"Rice, paddy",tonnes,1327314,1.714
2009,Caribbean,"Rice, paddy",tonnes,1474444,1.8573
2010,Caribbean,"Rice, paddy",tonnes,1448259,1.7443
2011,Caribbean,"Rice, paddy",tonnes,1588088,1.7184
2012,Caribbean,"Rice, paddy",tonnes,1455645,1.7757
2013,Caribbean,"Rice, paddy",tonnes,1568484,1.6417
2014,Caribbean,"Rice, paddy",tonnes,1263460,1.9504
2015,Caribbean,"Rice, paddy",tonnes,1093044,1.8832
2016,Caribbean,"Rice, paddy",tonnes,1225604,1.8122
2017,Caribbean,"Rice, paddy",tonnes,1174400,1.8647
1961,Caribbean,"Meat, cattle",tonnes,213274,53.5437
1962,Caribbean,"Meat, cattle",tonnes,219778,57.4478
1963,Caribbean,"Meat, cattle",tonnes,226574,57.2033
1964,Caribbean,"Meat, cattle",tonnes,240720,56.5109
1965,Caribbean,"Meat, cattle",tonnes,247529,56.1748
1966,Caribbean,"Meat, cattle",tonnes,253452,55.9666
1967,Caribbean,"Meat, cattle",tonnes,256351,55.0482
1968,Caribbean,"Meat, cattle",tonnes,317478,45.3461
1969,Caribbean,"Meat, cattle",tonnes,310340,45.4793
1970,Caribbean,"Meat, cattle",tonnes,291773,47.0246
1971,Caribbean,"Meat, cattle",tonnes,282595,47.0131
1972,Caribbean,"Meat, cattle",tonnes,278759,46.9859
1973,Caribbean,"Meat, cattle",tonnes,259937,49.6211
1974,Caribbean,"Meat, cattle",tonnes,238161,56.0687
1975,Caribbean,"Meat, cattle",tonnes,221972,61.2223
1976,Caribbean,"Meat, cattle",tonnes,258660,53.7097
1977,Caribbean,"Meat, cattle",tonnes,274943,49.3253
1978,Caribbean,"Meat, cattle",tonnes,275743,48.1701
1979,Caribbean,"Meat, cattle",tonnes,264105,49.946
1980,Caribbean,"Meat, cattle",tonnes,266576,50.2766
